,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
20,Gambia,2021,783.840199737802,2.2096566886015094,90.19984847249556
21,Gambia,2022,797.2240791968359,2.209657004903008,90.199795997901
22,Gambia,2023,810.6079586558698,2.209657321204507,90.19974352330645
23,Gambia,2024,823.9918381149037,2.2096576375060057,90.1996910487119
24,Gambia,2025,837.3757175739375,2.2096579538075045,90.19963857411736
20,Cambodia,2021,1569.0726953310095,1.0168805943337476,75.51131390125195
21,Cambodia,2022,1625.4170993434673,0.9972593120609102,75.52262780202152
22,Cambodia,2023,1681.761503355925,0.9776380297880728,75.53394170279108
23,Cambodia,2024,1738.105907368383,0.9580167475152355,75.54525560356065
24,Cambodia,2025,1794.450311380841,0.938395465242398,75.55656950433021
20,Haiti,2021,1330.2327454016443,13.383794348690317,57.69998442698634
21,Haiti,2022,1329.6700949639933,13.383796923689665,57.699968853973445
22,Haiti,2023,1329.107444526342,13.383799498689015,57.69995328096056
23,Haiti,2024,1328.544794088691,13.383802073688363,57.69993770794766
24,Haiti,2025,1327.98214365104,13.383804648687713,57.69992213493477
20,Qatar,2021,52576.355932476814,431.065428860668,99.9999629580971
21,Qatar,2022,54272.78584374497,431.0957967017431,99.99992303558707
22,Qatar,2023,55969.21575501313,431.1261645428181,99.99988311307705
23,Qatar,2024,57665.645666281285,431.15653238389314,99.99984319056702
24,Qatar,2025,59362.07557754945,431.1869002249682,99.999803268057
20,Colombia,2021,4963.096001043201,4.4905792059011755,91.39863811904168
21,Colombia,2022,4588.235017687285,4.622525214192796,91.39741276670203
22,Colombia,2023,4213.374034331368,4.754471222484418,91.39618741436237
23,Colombia,2024,3838.5130509754526,4.88641723077604,91.39496206202271
24,Colombia,2025,3463.652067619536,5.018363239067661,91.39373670968307
20,Switzerland,2021,89905.23980982236,6.420272846697509,100.0
21,Switzerland,2022,92854.24713259224,6.341689859658299,100.0
22,Switzerland,2023,95803.25445536211,6.2631068726190895,100.0
23,Switzerland,2024,98752.26177813199,6.18452388557988,100.0
24,Switzerland,2025,101701.26910090187,6.105940898540671,100.0
20,Romania,2021,13306.412966699356,5.989979227587603,100.0008128020263
21,Romania,2022,13682.449471058513,5.97303026524519,100.00161778962391
22,Romania,2023,14058.485975417672,5.956081302902777,100.00242277722151
23,Romania,2024,14434.52247977683,5.939132340560364,100.00322776481912
24,Romania,2025,14810.558984135987,5.922183378217951,100.00403275241672
20,South Africa,2021,4805.580304755987,65.76994681532426,93.2021992374334
21,South Africa,2022,4512.480920459561,66.50627211668998,93.204398474774
22,South Africa,2023,4219.381536163136,67.24259741805571,93.20659771211457
23,South Africa,2024,3926.2821518667106,67.97892271942143,93.20879694945516
24,South Africa,2025,3633.1827675702853,68.71524802078716,93.21099618679574
20,Sweden,2021,54061.25194813759,3.614141394255437,100.0
21,Sweden,2022,54444.140051259936,3.645310207638592,100.0
22,Sweden,2023,54827.02815438227,3.6764790210217475,100.0
23,Sweden,2024,55209.91625750461,3.7076478344049026,100.0
24,Sweden,2025,55592.80436062694,3.7388166477880582,100.0
20,Uganda,2021,858.0155228138213,5.8279963403,79.00198583077702
21,Uganda,2022,869.4324077227132,5.8279963403,79.00388207117226
22,Uganda,2023,880.849292631605,5.8279963403,79.0057783115675
23,Uganda,2024,892.2661775404968,5.8279963403,79.00767455196274
24,Uganda,2025,903.6830624493886,5.8279963403,79.00957079235796
20,Australia,2021,57933.5495333066,3.5429417342417002,100.0
21,Australia,2022,60039.00731394963,3.3045319227307752,100.0
22,Australia,2023,62144.46509459267,3.0661221112198507,100.0
23,Australia,2024,64249.9228752357,2.8277122997089257,100.0
24,Australia,2025,66355.38065587875,2.5893024881980007,100.0
20,Syrian Arab Republic,2021,915.1406260560316,124.35731884269713,90.10011027407639
21,Syrian Arab Republic,2022,937.0207611178605,124.35507167578392,90.10022054814857
22,Syrian Arab Republic,2023,958.9008961796895,124.35282450887073,90.10033082222077
23,Syrian Arab Republic,2024,980.7810312415186,124.35057734195752,90.10044109629297
24,Syrian Arab Republic,2025,1002.6611663033476,124.34833017504431,90.10055137036517
